,岗位,招聘关键字
196,环评技术员,"['环境影响', '应急', '类别', '环境', '业务部门', '归档', '送审', '质量保证', '验收', '验收报告', '环评', '相关', '环境工程', '汇编', '报审', '报批', '报告', '图件', '工程师', '承受']"
197,售前技术支持,"['完整', '做出', '支持', '交流', '技术支持', '市场动态', '自动化', '信息工程', '售前', '市场需求', '归纳', '答疑', '上岗', '协调', '适应', '演示', '调研', '技术', '电气', '类产品']"
198,安装预算员,"['工程造价', '算量', '工程量', '广联达', '工程预算', '审核', '标底', '软件', '设计变更', '造价', '合同', '定额', '预算', '工程', '洽商', '决算', '清单', '结算', '安装', '编制']"
199,技术支持,"['调试', '具备', '产品', '以上学历', '大专', '技术支持', '岗位职责', '客户', '售前', '出差', '现场', '解决方案', '售后', '适应', '弱电', '专业', '使用', '技术', '安装', '沟通']"
200,客户执行ae,"['跟进', '能力', '需求', '策划', '广告', '执行', '广告学', '以上学历', '广告行业', '岗位职责', '客户', '传播', 'ae', '良好', '项目', '协调', '广告公司', '营销', '排期', '沟通']"
201,文案编辑,"['网站', '策划', '采编', '事业部', '创意', '出稿', '新闻', '组稿', '采写', '岗位职责', '传播', '热门话题', '收集', '媒体广告', '编辑', '公众', '主题', '软文', '公司', '创想', '听说读写', '推广', '品牌', '广告行业', '总结', '文笔流畅', '思路清晰', '逻辑思维', '新闻学', '根据', '媒体', '对抖音', '机构', '各类', '思维', '策划书', '背景', '年轻化', '文字编辑', '文章', '广告', '独有', '新闻稿', '稿件', '产品', '撰写', 'h5', '采集', '写作', '关于', '文案', '应有', '宣传', '实战经验', '相关', '专科毕业', '热点', '宣传品', '电脑操作', '运营', '采访', '活动', '知识面', '促销', '落实', '汉语言', '交办', '行业资讯', '规章制度', '写作能力', '论坛', '微博', '官网', '广告学', '以上学历', '应变能力', '内容', '大专', '遵守', '更新', '搞笑', '评估', '功底', '微信', '产品描述', '校对', '市场调研', '文字', '传播学', '企业形象', '描述', 'ps', '企宣']"
202,质量管理/测试,"['元器件', '分析仪', '质量', '管控', '检验', '以上', '过程', '环境', '产品', '管理', '管线', '进行', '出货', '标准', '表单', '熟悉', '通晓', '产品质量', '检测', '要求', '不良', '无线电', '第三方', '标识', '制程', '制度', '测试', '品质', 'qc', '检定', '采样', '改善', '适应', '异常', '固废', '校准', '经验', '巡检', '提前准备', '操作', '成品', '管理体系', '来料', '控制', '生产', '质量体系', '问题']"
203,售后工程师,"['解决', '计算机硬件', '做出', '变通', '调试', '科技园', '产品', '以上学历', '水泵', '技术支持', '维修', '大专', '上门服务', 'ups', '冷却塔', '末端', '自动化', '设备', '杭州市', '岗位职责', '客户', '售前', '出差', '控制柜', '按质', '指导', '类似', '现场', '相关', '主要', 'c1', '中专', '针对', '回访', '医疗器械', '售后', '净水', '年龄', '更换', '维护', '变电站', '机电', '保养', '售后服务', '问题', '仪器', '安装', '制冷机']"
204,文案,"['个人', '请带', '策划', '采编', '创意', '资料', '快节奏', '岗位职责', '成果', '应届', '爆点', '卖点', '动态', '洞察力', '基础', '编辑', '公众', '软文', '公司', '得体', '执行', '推广', '通告', '高新', '驾驭能力', '品牌', '文笔流畅', '方案', '逻辑思维', '科研院所', '工业园', '新闻学', '孵化', '事务', '媒体', '各类', '接受', '提案', '科创', '表达能力', '文笔', '广告', '新闻稿', '谈吐', '稿件', '产品', '撰写', '发布', '文案', '企业宣传', '宣传', '履历', '相关', '主要', '热点', '运营', '活动', '拓客', '演讲稿', '汉语言', '浓厚兴趣', '会长', '文笔优美', '日程安排', '行业资讯', '写作能力', '微博', '官网', '帐号', '广告学', '以上学历', '内容', '功底', 'ppt', '微信', '产品描述', '灵活处理', '校对', '搜集', '文字', '营销', '地产']"
205,客服专员/助理,"['货运', '淘宝', '早九晚', '疑难问题', '岗位职责', '整理', '货物', '录入', '信息', '时间', '心理素质', '一定', '关怀', '售后', '跟踪', '按照', '业务', '使用', '细节', '打字速度', '公司', '发货', '五险', '提醒', '面签', '满意度', '系统', '耐心', '办公', '客户', '售前', '单休', '反馈', '接待', '异常', '投诉', '维护', '订单', '扫描', '服务', '咨询', '解决', '自信心', '进行', '客服', '提供', '物流', '一金', '普通话', '解答', '打电话', '早中晚', '主要', '聊天', '语言表达', '问题', '志同道合', '老客户', '快递', '报送', '以上学历', '大专', '标准', '回复', '要求', 'wps', '电脑', '接听', '客户资料', '客户服务', '中专', '回访', '电话', '处理', '阿里巴巴', '精神', 'office', '聊天工具', '描述', '沟通']"
206,投资助理,"['从业', '行业', '投资', '以上学历', '岗位职责', '研究', '分析', '本科', '大学本科', '证券', '项目', '尽职', '金融', '经理', '报告', '投后', '协助', '尽调', '基金', '公司']"
207,活动策划,"['能力', '策划', '执行', '创意', '合伙制', '户外运动', '撰写', '案例', '以上学历', '市场动态', 'qq', '一金', '推广部', '竞争对手', '总结', '本科毕业', '岗位职责', '传播', '策划案', '文案', '南京', '商会', '用户服务', 'word', '独立', '商业地产', '方案', '市场', '根据', '主管', 'ppt', '行业动态', '跨界', '组织', '公关', '会场', '热点', '往届', '守信', '社区', '监督管理', '推送', '活动', '生态圈', '公关活动', '文字', '制定', '领导', '统筹', '效果', '布置', '上线', '报告', '提案', '文宣', '经验', '移动', '企业', '商业活动', '康养', '丰富', '企业形象', '交办', '沟通', '社区活动', '地产']"
208,市场专员,"['能力', '策划', '执行', '推广', '五险', '校区', '以上学历', '大专', '异业', '一金', '岗位职责', '合作', '市场', '收集', '完成', '宣传', '渠道', '市场营销', '活动', '市场推广']"
209,工程主管,"['设施', '管理', '维修', '设备', '工程部', '岗位职责', '计划', '部门', '验收', '物业', '报修', '组织', '强电', '装修', '监督', '检查', '小区', '工程', '保养', '物业管理']"
210,其他职位,"['科研', '单位', '生物', '培养', '进行', '开朗', '做满', '实验室', '一金', '控制', '研究', '手册', '专业知识', '有薪', '完成', '环评', '现场', 'c2', 'c1', '虫害', '蔬菜', '技巧', '法规', '一般', '诚实', '降尘', '有机', '领导', '布置', '以及', '能会', '就是', '环保', '聚餐', '后期', '宠物', '工厂', '植物']"
211,产品助理,"['需求', '用户', '产品', '以上学历', '进行', '设计', '迭代', '岗位职责', '分析', '竞品', '逻辑思维', '文档', 'axure', '协调', '互联网', '原型', '经理', '产品设计', '协助', '沟通']"
212,设计,"['创意设计', '平面', 'ai', '宣传册', '审美', 'vi', '创意', '推广', '产品', 'h5', '图片', '产品包装', '利用自身', '详情页', '设计', '软件', '把握', '岗位职责', '美术', '彩页', 'pc', '企业宣传', '画册', '独立', '招商会', '规范', '自有', '生鲜', '完成', '制作', '宣传', '出品', '电商', '相关', '范围', '海报设计', 'mac', '手绘', '名片', '职能', '宣传品', '视觉', '展板', '广告宣传', '所有', 'photoshop', '页面', 'cdr', '海报', '促销', '平面设计', 'dm', 'b2b', 'ps', '包装', '公司', '展示', '人员']"
213,业务跟单,"['跟进', '货期', '以上学历', '岗位职责', '要求', '外贸', '打样', '服装', '交期', '样品', '大货', '协调', '进度', '跟踪', '订单', '沟通', '生产', '及时', '跟单', '工厂']"
214,商务专员,"['标书', '热能', '投标', '熟悉', '岗位职责', '作息', '合作', '文件', '人际沟通', '报价单', '合同', '商务谈判', '良好', '整改', '协调', '付汇', '商务礼品', 'gcp', '招投标', '商务']"
215,经理助理,"['纳米', '休息', '诚实可靠', '保密工作', '管理', '统计', '超微', '管理工作', '岗位职责', '交代', '情况', '品貌', '整理', '完成', '信息', '陵园', '辅助', '监督', '修改', '行政助理', '跟踪', '业务', '对本', '能动性', '社保', '公司', '得体', '会议', '满意度', '办公', '总经理', '内部', '总结', '行政', '文件', '文秘', '日常', '根据', '科研院所', '本科', '合同', '全速', '接待', '整合', '极块', '适应', '思维', '特点', '领导', '接受', '商务', '优良', '协助', '做事', '科创', '做好', '战略', '督促', '打交道', '各项', '理想', '1.18', '初试', '以上', '谈吐', '气质佳', '应酬', '帮忙', '形象', '学历', '普通话', '一家', '部门', '国企', '人际交往', '履历', '有效', '主要', '会议记录', '经理助理', '部长', '检查', '遵纪守法', '协调', '良好', '拿到', '知识', '意图', 'excel', '起草', '船员', '语言表达', '干满', '落实', '工作', '为人正直', '衔接', '建档', '传达', '交办', '品行端正', '日程安排', '上班时间', '写作能力', '催办', '细心', '保持良好', '办公室', '天津市', '宴请', '助理', '以上学历', '大专', '寻找', '洞察', '周岁', '亲和力', '偶尔', '上级领导', '要求', '电脑', '追踪', '领悟', '经理', '处理', 'office', '融入', '品格', '副总经理', '服务公司', '安排', '沟通']"
216,机械设备工程师,"['身体健康', 'ms', '路上', '设备', 'solidworks', '加工', '机械', '勇于创新', 'ug', '环境工程', '废气', 'pro', '适应', '专业', '熟练', '固废', '修护', '原厂', '废水处理', '专长']"
217,工程监理,"['质量', '管理', '进行', '家装', '工地', '材料', '验收', '监理员', '现场', '装修', '监督', '协调', '工民建', '监理', '施工工艺', '工程', '施工', '施工进度', '工程师', '工程质量']"
218,策划师,"['策划', '推广', '广告学', '营销策划', '岗位职责', '方案', '市场', '组织', '监督', '策划师', '媒体广告', '项目', '协调', '活动', '广告公司', '房地产', '制定', '目标', '阶段性', '营销']"
219,调试工程师,"['电力', '调试', '自动化', '人际沟通', '二次', '勤奋努力', '本科', '软硬件', '心理素质', '售中', '良好', '事业心', '电气工程', '适应', '责任感', '变电站', '配网', '接受', '电力系统', '素质']"
220,财税顾问,"['财税', '能力', '代理', '销售', '提供', '婚假', '岗位职责', '客户', '顾问', '双休', '定期', '工商', '电话', '带薪', '税务', '企业', '服务', '沟通', '公司', '记账']"
221,检测工程师,"['性能', '环境', '大专', '以上学历', '指导书', '实验室', '一金', '检测', '光伏', '要求', '统招', '测试', '应用化学', '化学工程', '专业', '报告', '按时', '液质', '仪器设备', '有机化学']"
222,安全员,"['安全', '交底', '施工现场', '法律法规', '以上', '持证', '以上学历', '管理', '建筑施工', '进行', '资料', '安全员', '管理工作', '岗位职责', '会议纪要', '认证工作', '理论知识', '巡查', '规范', '制度', '消防器材', '现场', '组织', '教育', '安全检查', '内业', '安全隐患', '监督', '检查', '中专', '整改', '事故', '体系', '施工', '落实', '危险源', '土建类', '督促', '证书', '生产', '作业', '例会']"
223,采编,"['策划', '采编', '新闻稿', '稿件', '撰写', '内容', '以上学历', '新闻', '组稿', '采写', '岗位职责', '功底', '微信', '媒体', '采访', '专访', '文字', '编辑', '公众', '选题']"
224,技术员,"['电力', '交底', '变更', 'cad', '施工现场', '测量', '器件', '充电', '配电', '以上学历', '大专', '技术支持', '资料', '万用表', '维修', '检修', '提供', '设计变更', '单板', '现场', '组织', '会审', '检查', '基本', '工程施工', '建造师', '工程', '制定', '施工', '技术员', '技术', '工程师', '电气', '图纸', '编制', '仪器', '模块', '电烙铁', '勘察', '放线']"
225,电力预算员,"['工程造价', '电力', '电力工程', '工程量', '广联达', '工程预算', '计金', '软件工程', '组织协调', '造价', '评估', '预算', '工程施工', '判断能力', '年龄', '预决算', '男女', '工程图纸', '非常', '建设工程']"
226,项目专员,"['申报材料', '过程', '每年', '社会', '口出', '社工', '处理工艺', '岗位职责', '验收', '收集', '信息', '拓展', '参与', '机械工程', '环境监测', '高企', '支持', '执行', '工程进度', '社会工作', '专业技能', '创业精神', '计划书', '设备', '废水', '环节', 'word', '思路清晰', '出差', '材料', '分配任务', '主管', '根据', '农业', '大学本科', '汇总', '机构', '开展', '项目', '适应', '制定', '项目前期', '企业', '规划', '协助', '社区活动', '申报', '组员', '撰写', '中文', '进行', '写作', '一金', '政府', '相关', '社区', '高新技术', '活动', '治理', '北京', 'excel', '报告', '以及', '交办', '项目管理', '写作能力', '拜访', '以上学历', '应变能力', '知识产权', '大专', '审核', '任务书', '要求', '组织协调', '研发部门', '理工科', '环境工程', '灵活处理', '政策', '详细', '公益', '科技', '搜集', '调研', '技术', '沟通', '密切配合']"
227,电气设计工程师,"['交底', '10kv', '下料', '变电', '电站', '可研', '设计', '储能', '初设', '施工图', '二次', '设计者', '料单', '电路系统', '成套', '电控柜', '取费', '振荡电路', '电气', '图纸']"
228,策划专员,"['定位', '策划', '广告', '执行', '创意', '推广', '广告学', '营销策划', '撰写', '以上学历', '品牌', '岗位职责', '文案', '方案', '逻辑思维', '功底', '宣传', '市场策划', '市场营销', '项目', '经理', '活动', '市场调研', '房地产', '文字', '参与', '报告', '提案', '经验', '营销', '大学专科']"
229,会计,"['统计', '财会', '灵活', '岗位职责', '会计工作', '分析', '报税', '会计凭证', '报表', '年度', '会计', '归纳', '监督', '电算化', '税法', '事业心', '工商', '全盘', '会计核算', '外联', '小规模', '保管', '报销', '账务', '事务性', '及时', '公司', '财务计划', '年检', '填制', '内部', '资格证书', '朝九晚', '定期', '事务', '财务制度', '法规', '机构', '猪场', '细致', '财务管理', '各类', '财务软件', '总账', '对账', '会计学', '申报', '财务', '会计报表', '会计师', '发票', '单位', '代理', '开票', '物流', '原始凭证', '一般', '做账', '费用', '成本核算', '纳税人', '核对', '纳税', '交办', '编制', '记账', '报送', '记帐', '以上学历', '审核', '往来', '凭证', '金蝶', '脑子', '审计', '内审', '每月', '汇算', '处理', '税务', '核算', '用友', '会计制度', '财务报表', '账目']"
230,活动策划执行,"['策划', '执行', '创意', '社会工作', '撰写', '内容', '公益活动', '交流学习', '岗位职责', '策划案', '按计划', '文案', '比赛', '计划', '独立', '方案', '完成', '昆山市', 'ppt', '现场', '组织', '流程', '项目', '获得', '各类', '活动', '公关活动', '文字', '制定', '参与', '提案', '经验', '钓鱼', '打交道', '沟通']"
231,实验室技术员,"['质量', '二代', '检验', '分子生物学', '求知欲', '助理', '环境', '细胞', '以上学历', '试剂', '大专', '分析方法', '有序', '实验室', '测试中心', '专科', '岗位职责', '化学分析', '检测', '分析', '实验', '售前', '分析仪器', '记录', 'lcms', '理论知识', '验收报告', '药剂', '完成', '化学', '测试数据', '测序', '物理性能', '负责人', '相关', '样品', '采样', 'cnas', '应用化学', '外加剂', 'pcr', '校准', '混凝土', '技术员', '湖南省', '细胞培养', '填写', '提前准备', '操作', '实验员', '仪器', '上级']"
232,会计主管,"['财务', '会计报表', '税务局', '财税', '会计人员', '审核', '职能部门', '岗位职责', '会计工作', '资金', '报税', '投融资', '组织协调', '关系', '人际交往', '会计', '外帐', '做账', '提交', '审计工作', '财务软件', '结账', '费用', '领导', '会计部', '帐簿', '税务', '决算', '处理', '纳税人', '账务', '大学专科', '财务经理', '会计制度', '交办', '税务师', '日报', '会计学', '申报', '记账']"
233,财务,"['小时', '财务收支', '会计专业', '账单', '财会', '归档', '员工工资', '岗位职责', '会计工作', '货代', '报税', '会计凭证', '报表', '要会', '差旅', '年度', '票据', '会计', '出纳', '时间', '税法', '工商', '会计核算', '明细表', '操守', '保管', '认真细致', '账务', '生产指标', '事务性', '公司', '银行业务', '7.5', '注册', '周六', '电力工程', '财务计划', '资格', '内账', '清算', '分配', '内部', '财务部', 'word', '日常', '内外', '财务预算', '收支', '财务制度', '帐务', '法规', '财经类', '财务管理', '预算', '财务软件', '结账', '总账', '制定', '经验丰富', '对账', '内务', '明细账', '承受', '会计科目', '申报', '坐班', '梳理', '财务', '财务主管', '会计报表', '经营', '交流', '登记', '发票', '以上', '考虑', '代理', '开票', '一金', '举止大方', '原始凭证', '开具', '成本费用', '毕业', '相关', '主要', '做账', '进出', '费用', '成本核算', '单据', '协作', '公司财务', '为人正直', '纳税人', '外账', '核对', '主导', '纳税', '交办', '正邦', '编制', '协会', '记账', '办公室', '拎包', '运用', '服务部', '以上学历', '大专', '审核', '往来', '要求', '记录', '凭证', '财经', '审计', '每月', '方面', '艰苦奋斗', '汇算', '银行', '处理', '税务', '系列', '核算', '用友', 'office', '装订', '会计制度', '财务报表', '职业', '资质']"
234,运营专员,"['资源', '任职', '拉新', '资格', 'h5', '社会', '业绩', '合作', '收集', '政府', '有效', '社区', '开展', '整合', '治理', '建设', '辖区', '主题', '用户线', '客户关系']"
235,招聘专员,"['复试', '需求', '初试', '人力', '以上学历', '大专', '进行', '岗位', '人力资源', '一金', '岗位职责', '应聘者', '招聘', '人才需求', '完成', '统招', '录用', '渠道', '各种', '组织', '流程', '相关', '主要', '职能', '人才库', '邀约', '人才', '协调', '面试', '简历', '搜集', '候选人', '维护', '入职', '招聘广告', '资源管理', '人事', '甄选', '交办', '表达能力', '安排', '技巧', '人员']"
236,投资顾问助理,"['从业', '需求', '投资', '五险', '资格', '以上学历', '进行', '提供', '一金', '热爱', '岗位职责', '顾问', '客户', '人际交往', '理财', '证券', '金融', '全日制', '服务', '过节费']"
237,项目负责人,"['党群', '公积金', '社会工作', '良好形象', '元加', '15k', '社工', '类似', '10k', '联系', '守信', '求职', '遵纪守法', '院落', '服务中心', '成都市', '服务项目', '新都区', '服务']"
238,销售助理,"['保持良好', '拜访', '底薪', '行业', '监管', '高薪', '邮寄', '高额', '经费', '以上学历', '法律顾问', '知识产权', '价格体系', '洽谈', '五险', '新人奖', '20%', '销售', '租赁', '提供', '一金', '待遇', '集团', '岗位职责', '客户', '分析', '看房', '部内', '享有', '电销', '晋升', '客户资源', '关系', '回款', '二手房', '电脑', '买卖', '有效', '行业动态', '空缺', '晋升制度', '信息沟通', '抗压', '出库', '效能', '保持', '月底', '专业', 'job', '拓展', '业务', '维护', '提成', '调整', '培训', '欣欣', '语言表达', '订单', '20w', '对账', '肯吃苦', '房源', '饭补', '链家', '聚餐', '法学专业', '免费', '上班时间', '绿色', '发货']"
239,电气技术员,"['元器件', '或者', '以上学历', '机电类', '杭州市', '岗位职责', '三年', '驾驶证', '联系电话', '要求', '审厂', '不限', '基本原理', '开关柜', '变电站', '电气设备', '制造', '危险源', '职称', '问题']"
240,招投标专员,"['中标', '标书', '投标', '复印', '以上学历', '大专', '季度', '条理性', '岗位职责', '交代', '开标', '文件', '要求', '严谨', 'word', '人品', '制作', '交五险', '信息', '年度', '编撰', '存档', '流程', '相关', '招标', '临时性', '聘用', '项目', '协调', '投递', '招投标', '档案', '报审', '公费旅游', '把关', '工程', '盖章', 'excel', '报告', '以及', '移交', '装订', '环保', '描述', '编制', '综合部', '排版']"
241,检验师,"['检验', '仪器', '临床', '试剂', '以上学历', '大专', '岗位职责', '临检', '资格证书', '医学', '标本', '专业', '检验科', '职称', '操作', '化验', '质控', '仪器设备', '规章制度', '技术规范']"
242,行政助理,"['劳动纪律', '催办', '任职', '办公室', '认真', '实习生', '考勤', '保密工作', '办公', '以上学历', '管理', '大专', '7k', '岗位职责', '翻译', '书写能力', '行政', '收发', '形象', '文件', '文秘', 'word', '仔细认真', '组织协调', '日常', '报刊杂志', '收集', '内外', '主管', '各种', '定期', '监督', '联系', '会务', '积极主动', '来访', '各类', '呈送', '按照', '通讯录', '办公用品', '外联', 'excel', '写作能力', '办公设备', '系统维护', 'office', '协助', '交办', '安排', '报刊', '公司', '各项', '人员']"
243,收银,"['小时', '任职', '认真', '日报表', '收款', '工资', '商品', '发票', '账单', '备用金', '超市', '当班', '服从', '服务员', '收银台', '岗位职责', '帐款', '操作程序', '招聘', '热情', '要求', '客人', '一家', '消费', '整理', '收银员', '简单', '电脑', '摆放', '职位', '前台', '主要', '财务制度', '顾客', '接待', '营业', '卫生', '收银', '菜单', '按规定', '介绍', '结账', '年龄', '工作', '帐单', '酒店', '保证', '酒水', '餐厅', '准确无误', '安排', '准确', '上班时间']"
244,招聘,"['发展', '初试', '以上', '类别', '人事档案', '离职', '大专', '进行', '谢谢', '谈判', '人力资源', '行政', '招聘', '有效', '渠道', '流程', '人才库', '人才', '面试', '9.00', '新人', '候选人', '四天', '劳动合同', '以及', '经验', '招聘广告', '资源管理', '人事', '7.00', '笔试', '表达能力', '承受', '所有', '公司']"
245,采购,"['供货', '到货', '执行', '供应', '质量标准', '产品', '以上学历', '大专', '物料', '塑料', '考核', '谈判', '陈经理', '临时', '做到', '岗位职责', '外协', '要求', '成本', 'word', '部门', '原材料', '信息', '评审', '总结报告', '流程', '相关', '交期', '汇总', '采购计划', '采购', '供应商', '跟踪', '电子', '交货期', '择优', '板材', '联系人', '物资', '订单', '职业道德', '询价', '标准件', '沟通', '及时']"
246,行政专员/助理,"['标书', '家人', '开车', '离职', '家长', '周末', '计算机操作', '资料', '管理', '落实工作', '统计', '资料员', '归档', '软件', '下发', '交代', '初创', '岗位职责', '整理', '实务', '高铁', '计算机', '政策法规', '出纳', '细腻', '监督', '修改', '行政事务', '餐费', '午餐', '被访', '档案', '当成', '职级', '使用', '外联', '一些', '机票', '空间', '签订合同', '及时', '公司', '自己', '接待工作', '表格', '复印', '胜任', '诚信', '五险', '办公', '琐事', '需要', '耐心', '总经理', '设备', '公益活动', '行政', '文件', '单休', '双休', '南京', '文秘', 'word', '办理', '驾照', '日常', '新闻学', '类似', '组织', '前台', '朝九晚', '事务', '接待', '事宜', '负责', '圆梦', '细致', '招聘会', '领导', '男女', '劳动合同', '俱佳', '资源管理', '人事', '优越', '协助', '内务', '管理制度', '访客', '证照', '各项', '餐补', '1.18', '接收', '以上', '校区', '一金', '保洁', '文稿', '形象', '收发', '食宿', '会议纪要', '部门', '有效', '聘用', '主要', '会议记录', '班车', '成员', '办公用品', '费用', '盖章', 'excel', '报告', '起草', '以及', '语言表达', '工作', '行政主管', '交办', '学员', '三个', '绿植', '上班时间', '规章制度', '人员', '每天', '任职', '办公室', '人力', '考勤', '运用', '法定', '节假日', '以上学历', '大专', '认同', '维系', '基本知识', '打印', '亲和力', '招聘', '要求', 'b2', '制度', '接听', '票务', '熟练', '后勤', '领用', '员工福利', '处理', '阶段性', 'office', '预定', '后勤保障', '装订', '短期', '描述', '安排']"
247,产品测试工程师,"['产品', '万用表', '标准', 'ids', '协议', '信息技术', '大纲', '测试', '开展', '电子', '原理', '测评', '电力系统', '功能测试', '测仪', '测试项目', '信息安全', '类产品', '资质', '防火墙']"
248,电力设计,"['电力', '交底', '10kv', '电力工程', '变电', '配电', '线路', '文件', '二次', 'autocad', '工程设计', '主要', '守信', '太阳宫', '电气工程', '小区', '电网', '供配电', '电气']"
249,配网设计工程师,"['打卡', '一年', 'cad', '任务', '工资', '地点', '塘厦镇', '内容', '大专', '可研', '设计', '出差', '好后', '电气工程', '预算', '配网', '6k', '编制', '测量', '业主']"
250,知识产权专员,"['定位', '挖掘', '专利', '知识产权', '资料', '带薪休假', '潜在', '专业知识', '客户资源', '陌拜', '优秀员工', '收集', '商标', '开展', '享受', '回访', '认证', '协作', '企业', '申报']"
251,计调,"['报价', '责任心', '导游', '出境', '地接', '行程', '线路', '岗位职责', '旅游', '计调', '供应商', '旅行社', '出团', '团队', '突发状况', '地接社', '专线', '操作', '安排', '沟通']"
252,工程资料员,"['立卷', '以上学历', '管理', '资料', '资料员', '归档', '管理工作', '工程部', '岗位职责', '纪要', '竣工', '设计变更', '文件', '验收', '整理', '项目部', '收集', '存档', '报验', '工程项目', '档案', '工程', '借阅', '施工', '保管', '交办', '图纸', '档案管理']"
253,设计师助理,"['结构设计', '样衣', '建模', '设计', '软件', '归档', '岗位职责', '市场', '施工图', '完成', '应届', '辅助', '一定', '效果图', '家具', '时尚', '设计师', '草图', 'ai', 'sketchup', '常用软件', '文件', '方案', '款式', 'autocad', '艺术设计', '本科', '服装', 'su', '配合', 'photoshop', 'cdr', '色彩', '协助', '景观', '设计部', '院校', '室内设计', '任务', '服装设计', '薪金', '责任心', '正规', '农田水利', '交待', '绘制', '美术', '流行', '样板', '相关', '良好', '专业', '平面设计', '交办', '辅料', '绘图', '形象设计', 'cad', '设计组', '量房', '助理', '以上学历', '大专', '大师', '面料', '要求', '房放图', '风景园林', '手绘', '面辅料', '景观设计', '园林景观', '熟练', '主创', 'office', '深化', '制图', '图纸', '绿化', '沟通', 'ps', '测量']"
254,商务助理,"['电力', '标书', '投标', '进行', '业绩', '专科', '回复', '文件', '整理', '制作', '传递', '流程', '档案', '建立', '使用', '保管', '商务', '编制', '沟通']"
255,售后技术支持,"['解决', '调试', '进行', '库存量', '产品质量', '偶尔', '一体化', '客诉', '动手', '现场', '退换货', '接线', '电气设备', '一些', '耗材', '电气', '交办', '问题', '定单', '踏踏实实']"
256,记账会计,"['从业', '财务', '任职', '发票', '代理', '岗位职责', '报税', '独立', '凭证', '金蝶', '会计', '初级职称', '一般', '做账', '财务软件', '汇算', '小规模', '税务', '处理', '用友', '纳税人', '账务', '企业', '装订', '纳税', '申报', '记账']"
257,设备工程师,"['厂商', '气动', '资格', '维修', '设备', '遵守', '竣工', '评估', '选型', '现场', '毕业', '相关', '中专', '基本', '接受', '保养', '职责', 'office', '化工行业', '技术规范']"
258,工程资料管理,"['cad', '园林', '立卷', '保密工作', '管理', '资料', '资料员', '归档', '岗位职责', '竣工', '质量保证', '施工单位', '文件', '验收', '整理', '可以', '收集', '完成', '现场', '园林绿化', '报验', '道路', '管理制度', '监督管理', '档案资料', '工程', '借阅', '施工', '领导', '接受', '预算员', '市政', '移交', '交办', '图纸', '编制', '档案管理']"
259,现场维护工程师,"['安防', '自动化', '岗位职责', '出差', '测控', '功底', 'autocad', '现场', '态度端正', '品行', '电气工程', '维护', '应用', '工程师', 'bom', '自动控制', '电子产品', '安装', '工厂']"
260,实习生储备干部,"['餐补', '轻松', '1.18', '4a', '开发新', '电话', '咖啡吧', '专属', '氛围', '单位', '饭补', 'cdr', '擅长', '书吧', '虚心学习', '有效', '突出者']"
261,人事专员,"['劳动', '劳动纪律', '升职', '优秀人才', '离职', '员工工资', '岗位职责', '上报', '年度', '实务', '档案', '简历', '人事工作', '劳动人事', '人事管理', '社保', '上级', '公司', '续签', '稽核', '表格', '执行', '人事档案', '人力资源', '大局观', '定级', '办理', '根据', '组织', '汇总', '法规', '细致', '制定', '求职者', '劳动合同', '资源管理', '人事', '协助', '提薪', '各项', '内训', '用工', '初试', '公积金', '进行', '一金', '手续', '提供数据', '相关', '员工', '应聘', '协调', '中午', '年龄', '培训', '为人正直', '丰富', '2.1', '交办', '档案管理', '说明书', '规章制度', '人员', '文化', '人力', '考勤', '以上学历', '大专', '良才', '缴纳', '招聘', '要求', '关系', '调岗', '流程', '人才', '公共关系', '面试', '体系', '入职', '核算', '安排']"
262,活动执行,"['能力', '场地', '策划', '执行', '物料', '岗位职责', '方案', '筹备', '现场', '流程', '项目', '供应商', '协调', '各类', '活动', '公关活动', '统筹', '经验', '搭建', '沟通']"
263,主办会计,"['财务', '解决', '财税', '代理', '岗位职责', '报税', '会计凭证', '凭证', '会计', '做账', '税务', '处理', '经验', '纳税人', '账务', '外账', '企业', '财务报表', '申报', '记账']"
264,投标专员,"['中标', '标书', '预审', '投标', '报名', '认真', '复印', '以上学历', '大专', '资料', '查询', '岗位职责', '打印', '开标', '文件', '收集', '根据', '政府', '制作', '流程', '相关', '主要', '招标', '针对', '一定', '招投标', '工程', '按时', 'office', '装订', '交办', '编制']"
265,机械制图,"['路线', '标准规范', '传动', '曾经', '机械制造', 'solidworks', '钟村', '机械设计', '工件', '风机', '根据', '三维图', '房补', '生日', '金图', '乘车', '工作餐', '全面', '创新', '图纸']"
266,采购员,"['解决', '做六休', '以上学历', '考虑', '进行', '机械制造', '做到', '岗位职责', '毕业生', '资源库', '理工科', '报账', '定期', '采购计划', '采购', '市场调研', '制定', '物资', '品行端正', '质量体系']"
267,全盘会计,"['excel', '税收政策', '八小时', '一名', '财务制度', '外账', 'word', '财务报表', '法定', '经营项目', '全盘', '强可', '总帐', '生日', '商业', '资格证书', '求职者', '会计']"
268,营业员,"['饮品', '店面', '商品', '陈列', '备料', '以上学历', '销售', '岗位职责', '货品', '要求', '盘点', '店内', '摆货', '售卖', '防损', '顾客', '接待', '卫生', '导购', '收银', '晚班', '保持', '店长', '补货', '理货', '服务', '清洁', '上班时间', '营业员']"
